event_id,event_type,impact,scheduled_time,available_time,actual,forecast,previous,affected_symbols
US_NFP:2024-03-01,US_NFP,high,2024-03-01T12:30:00+00:00,2023-05-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-03-20,FOMC_RATE,high,2024-03-20T18:00:00+00:00,2023-05-25T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-04-05,US_NFP,high,2024-04-05T12:30:00+00:00,2023-06-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-05-01,FOMC_RATE,high,2024-05-01T18:00:00+00:00,2023-07-06T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-05-03,US_NFP,high,2024-05-03T12:30:00+00:00,2023-07-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-06-07,US_NFP,high,2024-06-07T12:30:00+00:00,2023-08-12T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-06-12,FOMC_RATE,high,2024-06-12T18:00:00+00:00,2023-08-17T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-07-05,US_NFP,high,2024-07-05T12:30:00+00:00,2023-09-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-07-31,FOMC_RATE,high,2024-07-31T18:00:00+00:00,2023-10-05T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-08-02,US_NFP,high,2024-08-02T12:30:00+00:00,2023-10-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-09-06,US_NFP,high,2024-09-06T12:30:00+00:00,2023-11-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-09-18,FOMC_RATE,high,2024-09-18T18:00:00+00:00,2023-11-23T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-10-04,US_NFP,high,2024-10-04T12:30:00+00:00,2023-12-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-11-01,US_NFP,high,2024-11-01T12:30:00+00:00,2024-01-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-11-07,FOMC_RATE,high,2024-11-07T18:00:00+00:00,2024-01-12T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2024-12-06,US_NFP,high,2024-12-06T12:30:00+00:00,2024-02-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2024-12-18,FOMC_RATE,high,2024-12-18T18:00:00+00:00,2024-02-22T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-01-03,US_NFP,high,2025-01-03T12:30:00+00:00,2024-03-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-01-29,FOMC_RATE,high,2025-01-29T18:00:00+00:00,2024-04-04T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-02-07,US_NFP,high,2025-02-07T12:30:00+00:00,2024-04-13T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-03-07,US_NFP,high,2025-03-07T12:30:00+00:00,2024-05-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-03-19,FOMC_RATE,high,2025-03-19T18:00:00+00:00,2024-05-23T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-04-04,US_NFP,high,2025-04-04T12:30:00+00:00,2024-06-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-05-02,US_NFP,high,2025-05-02T12:30:00+00:00,2024-07-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-05-07,FOMC_RATE,high,2025-05-07T18:00:00+00:00,2024-07-11T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-06-06,US_NFP,high,2025-06-06T12:30:00+00:00,2024-08-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-06-18,FOMC_RATE,high,2025-06-18T18:00:00+00:00,2024-08-22T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-07-04,US_NFP,high,2025-07-04T12:30:00+00:00,2024-09-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-07-30,FOMC_RATE,high,2025-07-30T18:00:00+00:00,2024-10-03T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-08-01,US_NFP,high,2025-08-01T12:30:00+00:00,2024-10-05T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-09-05,US_NFP,high,2025-09-05T12:30:00+00:00,2024-11-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-09-17,FOMC_RATE,high,2025-09-17T18:00:00+00:00,2024-11-21T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-10-03,US_NFP,high,2025-10-03T12:30:00+00:00,2024-12-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-10-29,FOMC_RATE,high,2025-10-29T18:00:00+00:00,2025-01-02T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-11-07,US_NFP,high,2025-11-07T12:30:00+00:00,2025-01-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2025-12-05,US_NFP,high,2025-12-05T12:30:00+00:00,2025-02-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2025-12-10,FOMC_RATE,high,2025-12-10T18:00:00+00:00,2025-02-13T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-01-02,US_NFP,high,2026-01-02T12:30:00+00:00,2025-03-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-01-28,FOMC_RATE,high,2026-01-28T18:00:00+00:00,2025-04-03T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-02-06,US_NFP,high,2026-02-06T12:30:00+00:00,2025-04-12T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-03-06,US_NFP,high,2026-03-06T12:30:00+00:00,2025-05-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-03-18,FOMC_RATE,high,2026-03-18T18:00:00+00:00,2025-05-22T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-04-03,US_NFP,high,2026-04-03T12:30:00+00:00,2025-06-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-04-29,FOMC_RATE,high,2026-04-29T18:00:00+00:00,2025-07-03T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-05-01,US_NFP,high,2026-05-01T12:30:00+00:00,2025-07-05T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-06-05,US_NFP,high,2026-06-05T12:30:00+00:00,2025-08-09T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-06-17,FOMC_RATE,high,2026-06-17T18:00:00+00:00,2025-08-21T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-07-03,US_NFP,high,2026-07-03T12:30:00+00:00,2025-09-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-07-29,FOMC_RATE,high,2026-07-29T18:00:00+00:00,2025-10-02T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-08-07,US_NFP,high,2026-08-07T12:30:00+00:00,2025-10-11T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-09-04,US_NFP,high,2026-09-04T12:30:00+00:00,2025-11-08T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-09-16,FOMC_RATE,high,2026-09-16T18:00:00+00:00,2025-11-20T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-10-02,US_NFP,high,2026-10-02T12:30:00+00:00,2025-12-06T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-10-28,FOMC_RATE,high,2026-10-28T18:00:00+00:00,2026-01-01T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-11-06,US_NFP,high,2026-11-06T12:30:00+00:00,2026-01-10T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
US_NFP:2026-12-04,US_NFP,high,2026-12-04T12:30:00+00:00,2026-02-07T12:30:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
FOMC_RATE:2026-12-09,FOMC_RATE,high,2026-12-09T18:00:00+00:00,2026-02-12T18:00:00+00:00,,,,XAUUSD|XAUUSDT|EURUSD|GBPUSD|USDJPY|BTCUSDT|ETHUSDT
